City,Time,Temperature,Humidity,Wind Speed,Wing Deg,Visibility
New York,2024-02-22 10:55:43.689457,42,68,12,170,10000
Los Angeles,2024-02-22 10:55:44.043874,62,70,5,210,10000
Miami,2024-02-22 10:55:44.395493,74,62,4,115,10000
Chicago,2024-02-22 10:55:44.794290,54,47,8,70,10000
Las Vegas,2024-02-22 10:55:45.183625,58,51,4,10,10000
Austin,2024-02-22 10:55:45.643885,82,49,5,278,10000
Atlanta,2024-02-22 10:55:46.016427,67,44,10,230,10000
Denver,2024-02-22 10:55:46.536515,41,74,1,74,10000
Columbus,2024-02-22 10:55:46.969180,50,79,6,130,9656
City,Time,Temperature,Humidity,Wind Speed,Wing Deg,Visibility
Los Angeles,2024-02-22 10:57:28.795140,62,70,5,210,10000
Chicago,2024-02-22 10:57:29.185885,54,46,8,70,10000
Houston,2024-02-22 10:57:30.076471,73,74,19,220,10000
Phoenix,2024-02-22 10:57:30.576040,68,46,1,343,10000
Philadelphia,2024-02-22 10:57:32.315782,47,59,6,170,10000
San Antonio,2024-02-22 10:57:32.684854,80,53,5,270,10000
San Diego,2024-02-22 10:57:33.239897,63,72,8,294,10000
Dallas,2024-02-22 10:57:33.718773,79,32,10,290,10000
San Jose,2024-02-22 10:57:34.097842,57,73,5,50,10000
Austin,2024-02-22 10:57:34.469141,82,49,5,278,10000
Jacksonville,2024-02-22 10:57:34.844413,70,31,6,150,10000
Fort Worth,2024-02-22 10:57:35.317423,78,24,11,260,10000
Columbus,2024-02-22 10:57:35.721768,50,79,6,130,9656
Charlotte,2024-02-22 10:57:36.471864,64,38,11,230,10000
San Francisco,2024-02-22 10:57:36.867747,55,82,7,115,10000
Indianapolis,2024-02-22 10:57:37.364747,50,92,16,340,3219
Seattle,2024-02-22 10:57:37.781627,51,79,7,181,10000
Denver,2024-02-22 10:57:38.252905,41,74,1,74,10000
Washington,2024-02-22 10:57:38.898044,43,73,2,12,10000
Boston,2024-02-22 10:57:39.284670,42,55,9,130,10000
El Paso,2024-02-22 10:57:39.656714,62,21,5,290,10000
Nashville,2024-02-22 10:57:40.025546,59,73,18,200,10000
Detroit,2024-02-22 10:57:40.478167,49,71,6,40,10000
Oklahoma City,2024-02-22 10:57:40.874831,64,51,23,330,10000
Portland,2024-02-22 10:57:41.305306,52,85,5,62,10000
Las Vegas,2024-02-22 10:57:42.091630,59,50,4,10,10000
Memphis,2024-02-22 10:57:42.573922,65,68,18,210,10000
Louisville,2024-02-22 10:57:43.010902,54,90,10,190,4023
Baltimore,2024-02-22 10:57:43.679910,45,74,9,120,10000
Milwaukee,2024-02-22 10:57:44.279535,56,38,4,215,10000
Albuquerque,2024-02-22 10:57:44.778449,55,35,12,290,10000
Tucson,2024-02-22 10:57:45.236553,65,47,4,203,10000
Fresno,2024-02-22 10:57:45.997494,57,69,8,180,10000
Mesa,2024-02-22 10:57:46.681297,67,47,3,5,10000
Sacramento,2024-02-22 10:57:47.802683,55,76,3,0,10000
Atlanta,2024-02-22 10:57:48.697377,67,44,10,230,10000
Kansas City,2024-02-22 10:57:49.495601,64,36,19,360,10000
Colorado Springs,2024-02-22 10:57:50.299918,44,54,10,350,10000
Miami,2024-02-22 10:57:50.825632,74,62,3,40,10000
Raleigh,2024-02-22 10:57:51.247395,64,38,20,220,10000
Omaha,2024-02-22 10:57:52.078938,59,46,14,350,10000
Long Beach,2024-02-22 10:57:52.581199,62,78,4,245,10000
Virginia Beach,2024-02-22 10:57:53.755990,57,58,3,173,10000
Oakland,2024-02-22 10:57:54.156352,49,61,6,40,10000
Minneapolis,2024-02-22 10:57:54.554563,49,59,12,280,10000
Tampa,2024-02-22 10:57:55.023003,72,22,6,200,10000
Tulsa,2024-02-22 10:57:55.692589,71,58,12,340,10000
Arlington,2024-02-22 10:57:56.091502,79,24,9,290,10000
